1,Wait A While,Beddy Rays
2,Bad Girl,Daya
3,Ice Cream,Teenage Joans
4,Gold Chains,Genesis Owusu
5,Fly,Ngaiire
6,Stacking Chairs,Middle Kids
7,Ride,Yirrmal
8,Pump The Brakes,Dom Dolla
9,Stranded,Sumner
10,Baby Steps,Amy Shark
11,Say It,Blush'ko
12,Would You Throw A Diamond?,Hayley Mary
13,Take Off,"Hooligan Hefs, SCNDL & Sunset Bros."
14,Bones,Telenova
15,Bigger Than Me,Gretta Ray
16,Stop For A Minute,Polish Club
17,deja vu,Olivia Rodrigo
18,My Ways,Sycco
19,Foolproof,"Hayden James, Gorgon City & Nat Dunn"
20,21,Bakers Eddy
21,Happen To Me,BENEE
22,One More,Nile Rodgers
23,Ticks Me Off,Lime Cordiale
24,All Or Nothing,DZ Deathrays
25,Swimming,TOWNS
26,serotonin,girl in red
27,Recap,Kito
28,Typhoons,Royal Blood
29,Superstitious,Shannen James
30,Diamond,Bugs
31,Dino's,Gordi x Alex Lahey
32,Lose Your Head,London Grammar
33,Guilty Love,Ladyhawke & Broods
34,OOZ,Peach Tree Rascals
35,FMF!,Nick Ward
36,Twenty,Stevan
37,Up,Cardi B
38,MORE,Mansionair
39,Secretive!,Ninajirachi & Kota Banks
40,R.E.G.O,Ruby Fields
41,R U HIGH,Mallrat
42,Time I Love To Waste,MAY-A
43,Stranger,Kee'ahn
44,Look At The Sky,Porter Robinson
45,Dog Eared,Carla Geneve
46,virtual reality,renforshort
47,Please U,Planet Vegeta
48,Too Many Feelings,Ruel
49,The Last Man On Earth,Wolf Alice
50,Technicolour,Montaigne
51,BUZZCUT,Danny Brown
52,Summer Fr3aks,B Wise x Manu Crooks
53,Crash and Burn,Maggie Lindemann
54,That's Just How I Feel,Noah Dillon
55,Dead Butterflies,Architects
56,Nigel Hitter,shame
57,Go Wrong,Hauskey
58,Amends,Odette
59,Clockwork,Northlane
60,Higher,Budjerah
61,Get High,Chet Faker
62,Guess Again,DREDUB
63,Dark But Just A Game,Lana Del Rey
64,Fire In Me,Julia Stone
65,Bruuuh,JID & Denzel Curry
66,Shine,San Cisco
67,Get Me Out,King Stingray
68,Fast Lane,JessB
69,Waterfalls Coming Out Your Mouth,Glass Animals
70,letting go,Ziggy Alberts
71,Our Paradise,the terrys
72,Good Days,SZA
73,Jealous,Rico Nasty
74,Addicted,Jorja Smith
75,Tipsy,Liyah Knight
76,Addict,Hope D
77,Void,Allday
78,MAZZA,A$AP Rocky
79,Thank You,The Rubens
80,Josh,Peach PRC
81,Wasted On Me,Spacey Jane
82,Cowboy,Allison Ponthier
83,Tipsy,Carmouflage Rose
84,Muddy Evil Pain,The Rubens
85,Wonderlust,Simonne Jones
86,Chemtrails Over The Country Club,Lana Del Rey
87,Bush TV,Skegss
88,No Good For Me,KUCKA
89,Circles,Megan Thee Stallion
90,Intrasport,King Gizzard & The Lizard Wizard
91,Street Guide (Part 01),ONEFOUR
92,Sweet & Dandy,Tash Sultana
93,Syrup,Tkay Maidza
94,Money Talks,Dave
95,telepatía,Kali Uchis
96,Calling My Phone,Lil Tjay & 6LACK
97,Juno,Running Touch
98,Learning Alive,DMA'S
99,Last Day On Earth,beabadoobee
100,Tally-Ho,Psychedelic Porn Crumpets
